Project ID;Project Name;Scope; Type;Region;Country;State;"Total Credits 
Issued";Year
1008;Advanced Refrigeration - ARS2022004;Chemical Processes;Advanced Refrigerants;North America;United States;MISSOURI;26.766;2022
114;GreenTrees ACRE (Advanced Carbon Restored Ecosystem);Forestry & Land Use;Afforestation/Reforestation;North America;United States;"ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI";7.790.211;2009
212;UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project;Forestry & Land Use;Improved Forest Management;North America;United States;MINNESOTA;1.387.888;2011
222;Prairie Pothole Avoided Conversion of Grasslands and Shrublands;Forestry & Land Use;Avoided Grassland Conversion;North America;United States;NORTH DAKOTA;160.901;2010
272;Bear Creek Watershed Forest Carbon Project;Forestry & Land Use;Improved Forest Management;North America;United States;OREGON;375.650;2015
368;Anew - Middlebury Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;VERMONT;138.696;2018
374;Anew - Shafer-Tuuk Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;TENNESSEE;271.561;2018
375;Anew - Hawk Mountain Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;PENNSYLVANIA;221.089;2018
376;Anew - Massachusetts Tri-City Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;MASSACHUSETTS;538.247;2018
382;Re-Refining of Used Transformer Oil;Industrial & Commercial;Oil Recycling;North America;United States;KANSAS;175.093;2018
386;Anew - Hudson Farm Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;NEW JERSEY;229.664;2018
389;Winston Creek Forest Carbon Project;Forestry & Land Use;Improved Forest Management;North America;United States;WASHINGTON;781.275;2017
394;Hiawatha Club Carbon Project;Forestry & Land Use;Improved Forest Management;North America;United States;PENNSYLVANIA;48.834;2017
398;Anew - Doe Mountain Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;TENNESSEE;618.997;2018
410;Restoring Wetlands on California Department of Water Resources-Owned Areas of Twitchell and Sherman Islands;Forestry & Land Use;Wetland Restoration;North America;United States;CALIFORNIA;52.405;2011
411;Steuben County Bath Landfill GHG Offset Project;Waste Management;Landfill Methane;North America;United States;NEW YORK;272.366;2018
422;Wabassus DLLT IFM;Forestry & Land Use;Improved Forest Management;North America;United States;MAINE;90.194;2018
424;Albany Water Board - Improved Forest Management Project;Forestry & Land Use;Improved Forest Management;North America;United States;NEW YORK;184.925;2017
441;TNC-Chestnut Mountain Improved Forest Management Project;Forestry & Land Use;Improved Forest Management;North America;United States;TENNESSEE;381.185;2018
459;Anew - Klawock Heenya Native Community Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;ALASKA;341.624;2018
483;Lower Green Swamp Preserve;Forestry & Land Use;Improved Forest Management;North America;United States;FLORIDA;174.278;2018
499;Anew - Kootznoowoo Native Community Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;ALASKA;636.878;2018
505;Anew - Sharp Bingham Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;ALABAMA;98.912;2019
506;Anew - Greenleaf Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;"MICHIGAN; WISCONSIN";726.539;2019
508;Otter Creek IFM;Forestry & Land Use;Improved Forest Management;North America;United States;FLORIDA;160.057;2017
509;Kite Hammock IFM;Forestry & Land Use;Improved Forest Management;North America;United States;FLORIDA;225.632;2017
518;Anew - Burnt Mountain Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;VERMONT;224.215;2018
519;Cold Hollow Carbon - Improved Forest Management Project;Forestry & Land Use;Improved Forest Management;North America;United States;VERMONT;232.101;2019
534;Anew - Shaan Seet Native Community Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;ALASKA;397.513;2019
539;Puget Sound Energy Baker-White River Forest Carbon Project;Forestry & Land Use;Improved Forest Management;North America;United States;WASHINGTON;274.101;2020
558;Finite Carbon - Park Forestry IFM;Forestry & Land Use;Improved Forest Management;North America;United States;"NEW YORK; VERMONT";334.190;2020
562;Finite Carbon - Hiawatha Sportsman's Club IFM;Forestry & Land Use;Improved Forest Management;North America;United States;MICHIGAN;486.849;2020
566;Anew - 100-Mile Wilderness  Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;MAINE;103.103;2020
569;Anew - East Branch Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;MICHIGAN;156.564;2020
571;Finite Carbon - AMC Maine Woods Initiative IFM;Forestry & Land Use;Improved Forest Management;North America;United States;MAINE;732.351;2020
574;The Nature Conservancy Washington Rainforest Renewal Project;Forestry & Land Use;Improved Forest Management;North America;United States;WASHINGTON;161.222;2020
576;Anew - Rainier Gateway Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;WASHINGTON;38.312;2020
579;UT AgResearch Working Woodlands Project;Forestry & Land Use;Improved Forest Management;North America;United States;TENNESSEE;136.682;2019
586;18 Reserves Forest Carbon Project;Forestry & Land Use;Improved Forest Management;North America;United States;OHIO;439.593;2020
587;Anew - North Maine Woods Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;MAINE;428.360;2020
588;Anew - Big Six Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;MAINE;275.041;2020
590;Anew - Blue Ridge Escarpment Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;SOUTH CAROLINA;123.727;2020
592;Anew - Doyon Native Community Forest Project;Forestry & Land Use;Improved Forest Management;North America;United States;ALASKA;905.579;2020
595;Anew - Elk Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;KENTUCKY;390.197;2019
596;Anew - Boone Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;KENTUCKY;891.873;2019
604;Anew - Moose Country Divide Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;MICHIGAN;270.710;2020
614;Anew - Michigan DNR Big Wild Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;MICHIGAN;770.341;2020
617;Anew - Tomah Highlands Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;MAINE;154.294;2020
628;Wolf Lands Forest Carbon Project;Forestry & Land Use;Improved Forest Management;North America;United States;"MICHIGAN; MINNESOTA; WISCONSIN";135.311;2020
632;Anew - Eagle Mountain Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;"NEW YORK; MAINE; NEW HAMPSHIRE; VERMONT";96.635;2021
633;Anew - White Mountain Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;NEW HAMPSHIRE;79.478;2020
634;ILTF/NICC & SIG Fond Du Lac Band Forest Carbon Project;Forestry & Land Use;Improved Forest Management;North America;United States;MINNESOTA;263.697;2019
637;ILTF/NICC & SIG  Keweenaw Bay Indian Community Forest Carbon Project;Forestry & Land Use;Improved Forest Management;North America;United States;MICHIGAN;479.355;2019
639;Anew - Northeast Kingdom Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;VERMONT;52.239;2021
643;Anew - Bayfield County Forest Project;Forestry & Land Use;Improved Forest Management;North America;United States;WISCONSIN;558.755;2021
647;The Nature Conservancy – Michigamme Highlands Carbon Project;Forestry & Land Use;Improved Forest Management;North America;United States;MICHIGAN;211.034;2021
653;Anew - Canada Creek Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;MICHIGAN;46.257;2021
659;Whirlpool HFO Ottawa 659;Chemical Processes;HFC Replacement in Foam Production;North America;United States;OHIO;26.358;2020
661;Whirlpool HFO Ramos 661;Chemical Processes;HFC Replacement in Foam Production;Latin America and the Caribbean;Mexico;COAHUILA;93.109;2020
662;Whirlpool HFO Supsa 662;Chemical Processes;HFC Replacement in Foam Production;Latin America and the Caribbean;Mexico;NUEVO LEÓN;129.653;2020
668;Blue Hills Forest Carbon Project;Forestry & Land Use;Improved Forest Management;North America;United States;NEW HAMPSHIRE;30.260;2021
672;Finite Carbon - L.D. O'Rourke Foundation IFM;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;252.216;2020
673;Anew - Two-Hearted Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;MICHIGAN;146.731;2019
677;Anew - Superior Watershed Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;"WISCONSIN; MICHIGAN";92.970;2021
680;Anew - Quinte Forestry Project;Forestry & Land Use;Improved Forest Management;North America;Canada;ONTARIO;188.676;2020
681;Anew - Sylvania Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;"PENNSYLVANIA; NEW YORK";72.536;2021
683;Anew - McCoy Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;OHIO;53.723;2021
685;Anew – Iron County Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;WISCONSIN;435.200;2021
687;Anew - Hartwood Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;NEW YORK;41.263;2021
690;Anew - Michigan DNR Wolverine-Copper Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;MICHIGAN;260.638;2021
698;Anew - Katahdin Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;MAINE;770.071;2019
699;Anew - Longview Ranch Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;OREGON;45.641;2021
701;Finite Carbon - Windrock Land Company IFM;Forestry & Land Use;Improved Forest Management;North America;United States;TENNESSEE;1.473.011;2021
705;Anew - Empire Riverlands Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;NEW YORK;287.968;2021
716;ILTF/NICC & Mississippi Band of Choctaw Indians Forest Carbon Project;Forestry & Land Use;Improved Forest Management;North America;United States;MISSISSIPPI;175.467;2020
721;Kibby Skinner IFM Project;Forestry & Land Use;Improved Forest Management;North America;United States;MAINE;31.754;2022
729;Cumberland County Solid Waste Complex: GHG Emissions Reduction Automated Collection of Landfill Gas;Waste Management;Landfill Methane;North America;United States;NEW JERSEY;29.760;2021
730;South Wake Landfill, Apex, Wake County NC: GHG Emissions Reduction Automated Collection of Landfill Gas;Waste Management;Landfill Methane;North America;United States;NORTH CAROLINA;22.161;2022
732;Scott River Shackleford IFM Project;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;93.974;2021
733;Scott River Whiskey IFM Project;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;178.843;2021
734;Scott River Wildcat IFM Project;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;76.041;2021
735;Finite Carbon - Loon Echo and Mahoosuc Land Trusts IFM;Forestry & Land Use;Improved Forest Management;North America;United States;"MAINE; NEW HAMPSHIRE";106.940;2021
753;Green Diamond Resource Company Lost Trail IFM;Forestry & Land Use;Improved Forest Management;North America;United States;MONTANA;10.787;2021
754;Anew - Allagash Headwaters Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;MAINE;85.662;2020
781;Nuveen Upper Piedmont Conservation Area;Forestry & Land Use;Improved Forest Management;North America;United States;"SOUTH CAROLINA; NORTH CAROLINA";315.158;2022
782;ILTF/NICC & Blackfeet Nation Forest Carbon Project;Forestry & Land Use;Improved Forest Management;North America;United States;MONTANA;378.622;2020
783;NativState – S&J Taylor Forest Carbon Improved Forest Management Project;Forestry & Land Use;Improved Forest Management;North America;United States;ARKANSAS;597.902;2022
785;Finite Carbon - Bessey Development Company IFM;Forestry & Land Use;Improved Forest Management;North America;United States;MAINE;115.742;2022
786;Finite Carbon - Scott Woodlands IFM;Forestry & Land Use;Improved Forest Management;North America;United States;"SOUTH CAROLINA; GEORGIA";106.246;2022
812;OMMC1;Industrial & Commercial;Mine Methane Capture;North America;United States;OHIO;5.016;2022
824;Fielding Environmental HFC Reclamation Offset Project - 2021;Chemical Processes;HFC Refrigerant Reclamation;North America;Canada;ONTARIO;55.015;2021
840;Finite Carbon - Manulife Blueback IFM;Forestry & Land Use;Improved Forest Management;North America;United States;MAINE;331.994;2021
851;Anew - Big Poplar Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;"WEST VIRGINIA; VIRGINIA";741.450;2022
852;Anew - Little Bear Forestry Project;Forestry & Land Use;Improved Forest Management;North America;United States;"WEST VIRGINIA; VIRGINIA";299.809;2022
