Project ID;Project Name;Scope; Type;Region;Country;State;"Total Credits 
Issued";Year
1008;Washington Beef LLC Greenhouse Gas and Solids Reduction Project;Waste Management;Methane Recovery in Wastewater;North America;United States;WASHINGTON;213.283;2013
1013;Buckeye Forest Project;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;913.550;2014
1015;Rips Redwoods;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;163.615;2013
1019;LA PERSEVERANCIA BIOGAS PLANT;Waste Management;Landfill Methane;Latin America and the Caribbean;Mexico;MORELOS;62.745;2016
1027;Rentech Nitrogen, LLC - Nitric Acid Plant 2;Chemical Processes;N2O Destruction in Nitric Acid Production;North America;United States;ILLINOIS;1.340.034;2013
1032;Virginia Highlands I;Forestry & Land Use;Improved Forest Management;North America;United States;VIRGINIA;333.301;2013
1041;Sacramento Canyon ARB001;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;652.903;2015
1050;Lawton GCCS;Waste Management;Landfill Methane;North America;United States;OKLAHOMA;379.823;2013
1062;Finite Carbon - Shannondale Tree Farm;Forestry & Land Use;Improved Forest Management;North America;United States;MISSOURI;23.852;2016
1063;Farm Cove Community Forest;Forestry & Land Use;Improved Forest Management;North America;United States;MAINE;145.507;2015
1066;Buck Mountain ARB002;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;312.705;2015
1070;Phase 1 Sustainable Forest Project;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;597.932;2016
1086;Finite Carbon - Potlatch Moro Big Pine CE IFM;Forestry & Land Use;Improved Forest Management;North America;United States;ARKANSAS;134.786;2014
1088;Finite Carbon - JTO Champion Property IFM;Forestry & Land Use;Improved Forest Management;North America;United States;NEW YORK;919.144;2014
1092;Big Valley;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;42.097;2016
1094;Ashford III;Forestry & Land Use;Improved Forest Management;North America;United States;WASHINGTON;49.401;2014
1095;Brushy Mountain;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;1.780.162;2014
1096;Lenz Composting;Waste Management;Composting;North America;United States;WASHINGTON;123.545;2014
1097;Dairy Dreams Methane Reduction Project;Agriculture;Manure Methane Digester;North America;United States;WISCONSIN;65.369;2015
1098;Garcia River Forest - ARB;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;958.690;2016
1099;Gualala River Forest - ARB;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;509.513;2016
1100;Big River / Salmon Creek Forests - ARB;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;470.832;2016
1102;Montesol - Forest Carbon Partners Improved Forest Management Project;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;191.842;2016
1103;Forest Carbon Partners -- Glass Ranch Improved Forest Management Project;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;235.098;2015
1104;Forest Carbon Partners-Gabrych Ranch Improved Forest Management Project;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;254.838;2015
1105;American Soda LLC Waste Mine Methane Project;Industrial & Commercial;Mine Methane Capture;North America;United States;WYOMING;2.341.211;2015
1106;Green Valley Dairy Methane Reduction Project;Agriculture;Manure Methane Digester;North America;United States;WISCONSIN;130.138;2016
1109;Green Assets – Woodlands Nature Reserve Avoided Conversion Project;Forestry & Land Use;Avoided Forest Conversion;North America;United States;SOUTH CAROLINA;237.727;2015
