Project ID;Project Name;Scope; Type;Region;Country;State;"Total Credits 
Issued";Year
1001;InfraVest Taiwan Wind Farms Bundled Project 2011 - Taiwan;Renewable Energy;Wind;Eastern Asia;Taiwan;;976.517;2014
1003;Degirmen Weir and Hydroelectric Power Plant;Renewable Energy;Hydropower;Western Asia;Türkiye;;46.673;2015
1006;Highveld Air Quality - Highveld Central Project;Household & Community;Cookstoves;Sub-Saharan Africa;South Africa;;16.365;2012
1011;YGF Mangshi Household Biogas Tank Project;Household & Community;Biodigesters;Eastern Asia;China;;14.136;2012
1013;Kocaeli Landfill Gas to Electricity Project;Waste Management;Landfill Methane;Western Asia;Türkiye;;718.935;2012
1014;Kusakli Hydro Electric Power Plant;Renewable Energy;Hydropower;Western Asia;Türkiye;;20.881;2019
1015;"Ramanagara Biogas Project version 02; 10th November 2010";Household & Community;Biodigesters;Southern Asia;India;;283.992;2016
1016;Konya Aslim Landfill Gas Management Project - Turkey;Waste Management;Landfill Methane;Western Asia;Türkiye;;400.564;2011
1017;Mordogan Wind Farm Project Turkey;Renewable Energy;Wind;Western Asia;Türkiye;;206.679;2018
1018;Korkmaz Wind Farm Project Turkey;Renewable Energy;Wind;Western Asia;Türkiye;;175.144;2018
1020;Production and dissemination of Ceramic Water Purifiers by Hydrologic in the Kingdom of Cambodia;Household & Community;Clean Water;South-Eastern Asia;Cambodia;;1.132.953;2011
1021;Improved Woodstoves in Udaipur - Helping Women and Environment;Household & Community;Cookstoves;Southern Asia;India;;259.400;2016
10220;Humbo Ethiopia Assisted Natural Regeneration Project;Forestry & Land Use;Afforestation/Reforestation;Sub-Saharan Africa;Ethiopia;;240.371;2009
1027;Maluti Air Quality Project - South;Household & Community;Cookstoves;Sub-Saharan Africa;South Africa;;3.149;2010
1028;Efficient Cookstoves in Bahia II - Santo Amaro;Household & Community;Cookstoves;Latin America and the Caribbean;Brazil;;29.330;2014
1029;The Breathing Space Improved Cooking Stoves Programme India - VPA No. 02 Envirofit;Household & Community;Cookstoves;Southern Asia;India;;108.612;2010
1030;The Breathing Space Improved Cooking Stoves Programme India - VPA No. 03 Envirofit;Household & Community;Cookstoves;Southern Asia;India;;91.286;2010
10309;"Jbel Sendouq-Khalladi (""Khalladi"") wind farm project in Morocco (GS5073 CER to VER conversion)";Renewable Energy;Wind;Northern Africa;Morocco;;34.439;2018
1031;The Breathing Space Improved Cooking Stoves Programme India - VPA No. 04 Envirofit;Household & Community;Cookstoves;Southern Asia;India;;112.254;2010
10312;BARRY CALLEBAUT COCOA;Forestry & Land Use;Afforestation/Reforestation;International;International;;0;
1033;Xuyong household biogas Gold Standard VER Project;Household & Community;Biodigesters;Eastern Asia;China;;45.900;2012
1034;Dagpazari Wind Power Plant;Renewable Energy;Wind;Western Asia;Türkiye;;390.011;2012
10355;Nam Long Hydropower Project (GS2707 CER to VER conversion);Renewable Energy;Hydropower;South-Eastern Asia;Laos;;39.680;2016
1038;Highveld Air Quality - Maluti East;Household & Community;Cookstoves;Sub-Saharan Africa;South Africa;;13.841;2010
1039;Maluti Air Quality Project - West;Household & Community;Cookstoves;Sub-Saharan Africa;South Africa;;6.432;2010
1040;Highveld Air Quality - Standerton project;Household & Community;Cookstoves;Sub-Saharan Africa;South Africa;;1.140;2011
1041;Ferrosilicon waste heat power generation project;Industrial & Commercial;Waste Heat Recovery;Eastern Asia;China;;273.212;2017
10410;Vaayu India Wind Power Project in Andhra Pradesh (GS4603 CER to VER conversion);Renewable Energy;Wind;Southern Asia;India;;75.000;2014
10411;CECIC HKC Danjinghe Wind Farm Project (GS6753 CER to VER Conversion);Renewable Energy;Wind;Eastern Asia;China;;20.000;2017
1042;Ceará Renewable Energy Bundled Project;Renewable Energy;Biomass;Latin America and the Caribbean;Brazil;;505.363;2010
1044;GS VER UpEnergy's Uganda Biomass Cookstove Project;Household & Community;Cookstoves;Sub-Saharan Africa;Uganda;;579.180;2011
