Project ID;Project Name;Scope; Type;Region;Country;State;"Total Credits 
Issued";Year
10;BAESA Project;Renewable Energy;Hydropower;Latin America and the Caribbean;Brazil;;6.726.799;2006
1001;Inner Mongolia Yihewusu Phase II 49.5 MW Wind Power Project;Renewable Energy;Wind;Eastern Asia;China;;791.783;2009
1002;Natural Gas based grid connected power project at Peddapuram, A.P. by Gautami Power Limited;Industrial & Commercial;Natural Gas Electricity Generation;Southern Asia;India;;2.600.983;2009
1003;Dogançay Weir and Hydroelectric Power Plant;Renewable Energy;Hydropower;Western Asia;Türkiye;;0;
1004;Yamanli II Hydroelectric Power Plant;Renewable Energy;Hydropower;Western Asia;Türkiye;;0;
1006;Bursa Light Rail System II Phase;Transportation;Mass Transit;Western Asia;Türkiye;;7.092;2016
1008;Yaprak-II Hydropower Plant, Turkey;Renewable Energy;Hydropower;Western Asia;Türkiye;;0;
1010;Umut-III Hydropower Plant, Turkey;Renewable Energy;Hydropower;Western Asia;Türkiye;;0;
1011;Umut-II Hydropower Plant, Turkey;Renewable Energy;Hydropower;Western Asia;Türkiye;;0;
1012;Umut-I Hydropower Plant, Turkey;Renewable Energy;Hydropower;Western Asia;Türkiye;;0;
1013;Basak Hydropower Plant, Turkey;Renewable Energy;Hydropower;Western Asia;Türkiye;;0;
1015;Community-based reforestation project on degraded lands in Uttar Pradesh, India by Indian Farm Forestry Development Co-operative Limited;Forestry & Land Use;Afforestation/Reforestation;Southern Asia;India;;78.003;2008
1017;CEMEX USA: ALTERNATIVE FUELS AND BIOMASS PROJECT AT DEMOPOLIS CEMENT PLANT;Renewable Energy;Biomass;North America;United States;;0;
1018;Wind power project in Tamil Nadu by SWPPL;Renewable Energy;Wind;Southern Asia;India;;312.566;2011
1020;Solar Power Plant of 15MW in Gujarat by Palace Solar Energy Private Limited;Renewable Energy;Solar - Centralized;Southern Asia;India;;235.847;2012
1021;Grid Connected Wind Power Project by M/s. D. J. Malpani in Rajasthan;Renewable Energy;Wind;Southern Asia;India;;47.157;2016
1022;Grid Connected Wind Power Project by M/s. D. J. Malpani at Ratan Ka Bas (RKB), Rajasthan;Renewable Energy;Wind;Southern Asia;India;;32.638;2011
1023;Grid Connected Wind Power Project by M/s Giriraj Enterprises in Madhya Pradesh;Renewable Energy;Wind;Southern Asia;India;;155.319;2011
1024;Grid Connected Wind Power Project by M/s. Giriraj Enterprises at Tejuva, Rajasthan;Renewable Energy;Wind;Southern Asia;India;;58.285;2016
1028;San Clemente Hydroelectric Power Plant;Renewable Energy;Hydropower;Latin America and the Caribbean;Chile;;9.244;2011
1029;San Pedro Hydropower Plant;Renewable Energy;Hydropower;Latin America and the Caribbean;Chile;;0;
103;RIMA Fuel Switch in Bocai√∫va;Renewable Energy;Biomass;Latin America and the Caribbean;Brazil;;134.736;2006
1031;Dak Psi 3 and 4 Hydropower Project;Renewable Energy;Hydropower;South-Eastern Asia;Viet Nam;;658.180;2011
1032;Xundian Jinfeng 12.6MW Hydropower Project;Renewable Energy;Hydropower;Eastern Asia;China;;295.619;2008
1035;Inner Mongolia Keshiketeng County Wutaohai South Wind Farm 49.5 MW Project;Renewable Energy;Wind;Eastern Asia;China;;471.336;2009
1036;Hillsborough County Waste to Energy (WtE) Facility 2009 Capital Expansion Unit 4;Waste Management;Waste Incineration;North America;United States;;313.359;2009
1037;Guazhou Beidaqiao No.1 Wind Farm Project in Gansu Province, China;Renewable Energy;Wind;Eastern Asia;China;;2.474.798;2011
1038;Chile: Hornitos Hydroelectric Project;Renewable Energy;Hydropower;Latin America and the Caribbean;Chile;;66.318;2008
1039;AES Saurashtra Windfarms;Renewable Energy;Wind;Southern Asia;India;;573.751;2012
1040;Inner Mongolia Hangjin Yihewusu Wind Power Project;Renewable Energy;Wind;Eastern Asia;China;;282.087;2008
1041;OAxaca IV Wind Energy Project;Renewable Energy;Wind;Latin America and the Caribbean;Mexico;;590.796;2012
1042;Oaxaca III Wind Energy Project;Renewable Energy;Wind;Latin America and the Caribbean;Mexico;;466.501;2012
1043;Oaxaca II Wind Energy Project;Renewable Energy;Wind;Latin America and the Caribbean;Mexico;;428.929;2012
1044;Ziqiang 18MW Hydropower Project in Guizhou Province China;Renewable Energy;Hydropower;Eastern Asia;China;;62.780;2010
1045;Wind Power Project at Rajkot, Gujarat;Renewable Energy;Wind;Southern Asia;India;;416.338;2012
1047;Carbon Emissions Reduction Project in the Forest Corridor Ambositra-Vondrozo (COFAV), Madagascar;Forestry & Land Use;REDD+;Sub-Saharan Africa;Madagascar;;0;
1049;Heilongjiang Bianfushan Wind Power Project;Renewable Energy;Wind;Eastern Asia;China;;218.613;2009
1050;Cermikler 25.00 MW Hydrolectric Power Plant Project;Renewable Energy;Hydropower;Western Asia;Türkiye;;188.659;2015
1051;Heilongjiang Wangyunfeng Wind Power Project;Renewable Energy;Wind;Eastern Asia;China;;286.952;2010
1053;FUEL REPLACEMENT WITH WASTE GAS STREAM CONTAINING HYDROGEN AND BIOMASS AT THE CMPC;Industrial & Commercial;Waste Gas Recovery;Latin America and the Caribbean;Chile;;0;
1054;MRO Grouped Wind Projects Phase II;Renewable Energy;Wind;North America;United States;;17.561;2013
1055;Reforesting Degraded Lands in Chile through the use of Mycorrhizal Inoculation;Forestry & Land Use;Afforestation/Reforestation;Latin America and the Caribbean;Chile;;1.393.414;2012
1056;CECIC Zhangbei Gaojialiang Wind farm Project.;Renewable Energy;Wind;Eastern Asia;China;;242.558;2009
1060;Bethlehem Authority Improved Forest Management Project;Forestry & Land Use;Improved Forest Management;North America;United States;;265.425;2012
1061;Kentilux Wind Farm;Renewable Energy;Wind;Latin America and the Caribbean;Uruguay;;25.728;2012
1063;Clean energy generation from wind energy in the state of Rajasthan;Renewable Energy;Wind;Southern Asia;India;;62.536;2011
1066;Damlapinar Hydroelectric Power Plant Project;Renewable Energy;Hydropower;Western Asia;Türkiye;;312.236;2010
1068;Hydroelectric Project El Edén;Renewable Energy;Hydropower;Latin America and the Caribbean;Colombia;;73.110;2017
1069;8 MW bundled wind power project, proposed by Ghodawat Industries (India) Pvt. Ltd.;Renewable Energy;Wind;Southern Asia;India;;66.698;2010
107;Amatitlan Geothermal Project;Renewable Energy;Geothermal;Latin America and the Caribbean;Guatemala;;104.344;2007
1070;Buenos Aires Ceramic Fuel Switching Project;Renewable Energy;Biomass;Latin America and the Caribbean;Brazil;;67.017;2010
1071;Jatropha Agroforestry Senegal;Forestry & Land Use;Afforestation/Reforestation;Sub-Saharan Africa;Senegal;;480;2013
1075;Kohinoor Wind Power Project in Rajasthan;Renewable Energy;Wind;Southern Asia;India;;36.380;2011
1076;Manaus Landfill Gas Project;Waste Management;Landfill Methane;Latin America and the Caribbean;Brazil;;311.911;2011
1077;Cerro de Hula Wind Project;Renewable Energy;Wind;Latin America and the Caribbean;Honduras;;206.105;2012
108;Tiefa Coal Mine Methane Utilisation for Power Generation Project;Industrial & Commercial;Mine Methane Capture;Eastern Asia;China;;167.647;2009
1081;Clean Energy Generation in Gujarat, India;Renewable Energy;Wind;Southern Asia;India;;188.634;2011
1082;Efficient Cook Stove Programme: Kenya CPA No. 2 Mathira East District co2balance UK Ltd;Household & Community;Cookstoves;Sub-Saharan Africa;Kenya;;61.231;2011
1083;Lican Hydroelectric Plant;Renewable Energy;Hydropower;Latin America and the Caribbean;Chile;;48.091;2020
1084;Energy efficiency measures in cooling systems at New Tech Park, 151 Lorong Chuan, Singapore;Industrial & Commercial;Energy Efficiency;South-Eastern Asia;Singapore;;12.966;2010
1085;EcoPlanet Bamboo Central America - Reforestation Project;Forestry & Land Use;Afforestation/Reforestation;Latin America and the Caribbean;Nicaragua;;263.426;2014
1088;4.2 MW Wind Power Project by National Enterprises at Tamil Nadu, India;Renewable Energy;Wind;Southern Asia;India;;30.981;2012
1089;Laurelbrook Farm Dairy Manure Advanced Separation Project;Agriculture;Solid Waste Separation;North America;United States;;39.273;2010
1091;SENA  HYDROELECTRIC POWER PLANT;Renewable Energy;Hydropower;Western Asia;Türkiye;;81.341;2014
1092;SOLAR POWER PROJECT IN GUJARAT, INDIA BY WAA SOLAR LIMITED;Renewable Energy;Solar - Centralized;Southern Asia;India;;8.234;2012
1093;Solar Power Project by Sai Sudhir Energy Limited;Renewable Energy;Solar - Centralized;Southern Asia;India;;0;
1094;Ecomapua Amazon REDD Project;Forestry & Land Use;REDD+;Latin America and the Caribbean;Brazil;;2.071.291;2003
1098;Anhui Suzhou 2X12.5 MW Biomass Power Generation Project;Renewable Energy;Biomass;Eastern Asia;China;;264.625;2008
1099;Qian'an Wangxin Caizi Town Windfarm Project Phase I;Renewable Energy;Wind;Eastern Asia;China;;151.259;2012
11;Waste heat power generation project at Hunan Anshi Xingyuan Power Generation Co., Ltd.;Industrial & Commercial;Waste Heat Recovery;Eastern Asia;China;;98.712;2006
1100;SANIBEY DAM AND HYDROELECTRIC POWER PLANT;Renewable Energy;Hydropower;Western Asia;Türkiye;;5.485.316;2012
1103;Upgrade of Dominican Power Partners' Los Mina power station from open cycle to combined cycle power generation;Industrial & Commercial;Waste Heat Recovery;Latin America and the Caribbean;Dominican Republic;;1.202.884;2017
1104;KALE HYDROELECTRIC POWER PLANT;Renewable Energy;Hydropower;Western Asia;Türkiye;;0;
1105;OSMANCIK HYDROELECTRIC POWER PLANT;Renewable Energy;Hydropower;Western Asia;Türkiye;;0;
1109;Mithapur Solar Power Project;Renewable Energy;Solar - Centralized;Southern Asia;India;;108.159;2012
111;Kalealti 15 MW Hydropower Plant, Turkey;Renewable Energy;Hydropower;Western Asia;Türkiye;;297.373;2006
